"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Back Pain","back pain;kamar dard;lower back pain;lumbago;backache;stiff back;sprain in back;pulled back muscle;sciatica","Lower back pain is very common, often from bad posture, lifting something heavy, or sitting too long.","Rest for a day (but not too long). Apply Volini/Moov spray. Use a hot water bag for muscle relaxation.","Consult if pain goes down the leg (sciatica);causes numbness;or doesn't improve after 1 week.","HAVE: Anti-inflammatory foods (turmeric;ginger;berries). AVOID: Inflammatory processed foods/sugar.","Avoid sitting for >30 mins at a stretch. Do not lift heavy objects. Sleep on a firm mattress.","Persistent back pain might mean a muscle strain or disc issue. It might feel stiff in the mornings.","NSAIDS like Ibuprofen (Brufen 400) can reduce inflammation if suitable for you. Gentle cat-cow yoga stretches.","See doctor if you have bladder/bowel control issues (medical emergency);or history of cancer/osteoporosis.","HAVE: Calcium and Vitamin D rich foods (milk;eggs;mushrooms). AVOID: Foods that cause weight gain (puts pressure on back).","Improve workstation ergonomics (chair with lumbar support;screen at eye level).","Chronic or severe back pain needs proper diagnosis (X-ray/MRI) to rule out slipped disc or spinal issues.","Physiotherapy is often more effective than just meds long-term.","URGENT: Consult if pain follows a fall/injury;or accompanied by fever or unexplained weight loss.","HAVE: Balanced diet to maintain healthy weight. AVOID: Prolonged bed rest (it weakens muscles more).","Use proper technique when lifting (bend knees, keep back straight). Wear supportive shoes."
"Skin Rash","rash;khujli;chakate;skin allergy;redness;hives;itchy skin;dermatitis;bumps on skin;allergic reaction","Rashes can be from allergies, heat, or insects. It usually appears as red, itchy bumps or patches.","Apply Calamine lotion for soothing. Take an OTC anti-allergic like Cetirizine 10mg if very itchy.","Consult if rash spreads rapidly;covers large body area;or is painful/blistered.","HAVE: Cooling foods (cucumber;water). AVOID: Known allergens (nuts;seafood;egg);spicy food that increases body heat.","Wear loose cotton clothes. Avoid scratching (it makes it worse and can cause infection). Take cool baths.","If the rash is persistent, it might be eczema or a fungal infection (ringworm - typically round shape).","For fungal (ringworm): Use Clotrimazole cream. Do NOT use steroid creams (Betnovate) on fungal infections without advice.","See doctor if rash has pus;crusts over (yellow honey color - impetigo);or doesn't improve with OTC care.","HAVE: Foods rich in Vitamin E (almonds;spinach). AVOID: Scratching;hot showers.","Keep the area dry and clean. Change bedsheets frequently if it's infectious.","Severe rashes combined with other symptoms can indicate serious allergic reactions or systemic viral infections.","Specific prescription creams (steroid or antifungal) needed based on exact diagnosis.","URGENT: Consult if rash is accompanied by lip/tongue swelling or difficulty breathing (Anaphylaxis - EMERGENCY).","HAVE: Plain;non-allergenic diet. AVOID: New soaps/detergents that might be triggers.","Take photos of the rash daily to track if it's growing or shrinking for the doctor."
"Eye Strain","eye strain;aankhon mein dard;tired eyes;digital eye strain;computer vision syndrome;burning eyes;watery eyes from screen;blurriness","Eye strain is common from staring at phones/laptops too long. Your eyes might feel dry, gritty, or tired.","Follow 20-20-20 rule: Every 20 mins, look at something 20 feet away for 20 seconds. Splash cold water on closed eyes.","Consult if you have persistent blurred vision;double vision;or severe eye pain.","HAVE: Carrots;leafy greens (Vitamin A is good for eyes). AVOID: Dehydration.","Reduce screen brightness. Use 'Night Mode' (blue light filter) on devices in evening. Blink more often!","Persistent strain can lead to headaches and dry eyes. You might be forgetting to blink when focused.","Use lubricating eye drops (like Refresh Tears/Systane) to moisten eyes. Not 'cooling' drops that just reduce redness.","See ophthalmologist if you haven't had an eye test recently;you might need reading glasses.","HAVE: Omega-3 rich foods (flaxseeds;walnuts;fish) for tear quality. AVOID: Reading in dim light.","Adjust your screen so it's slightly below eye level. Ensure room is well-lit but without glare on screen.","Severe eye pain or sudden vision changes are NOT simple strain and need immediate specialist care.","Do not self-medicate with steroid eye drops.","URGENT: Consult if you see flashing lights;lots of floaters;or a dark curtain in vision.","HAVE: Hydrating fluids. AVOID: prolonged use of contact lenses if eyes are irritated.","Massage temples gently. Close eyes and roll them in circles occasionally to relax eye muscles."
"Period Pain","period pain;masik dharm dard;menstrual cramps;chums pain;dysmenorrhea;stomach pain during periods;lower belly ache;cramping","Period cramps happen because the uterus is contracting. It's very common on the first 1-2 days of flow.","Use a hot water bag on lower abdomen. OTC Painkiller Meftal-Spas is commonly used in India for severe cramps (consult doctor first).","Consult if pain is so severe you miss work/school regularly;or if it gets worse over time.","HAVE: Dark chocolate (small amount);ginger tea;bananas (magnesium helps cramps). AVOID: Excess salt (bloating);caffeine (can increase Cramping).","Light walking or gentle yoga stretches can actually help reduce pain more than lying curled up.","If cramps are persistent throughout the cycle or very heavy, it might need investigation for things like endometriosis.","Standard painkillers like Ibuprofen can decrease prostaglandin production if taken right at onset of period.","See gynecologist if you have heavy clotting;irregular cycles;or pain during intercourse.","HAVE: Iron-rich foods (spinach;jaggery) to replace lost blood. AVOID: Cold foods might make some feel worse (Ayurvedic view).","Track your cycle to prepare in advance. Relaxing warm baths can help.","Severe, incapacitating pain is NOT 'normal' and shouldn't be ignored. It deserves medical management.","Hormonal treatments (like birth control pills) are sometimes prescribed to manage severe dysmenorrhea.","URGENT: Consult if you feel severe faintness;have unusually unbelievably heavy flow (changing pad every hour).","HAVE: Warm;comforting nutritious meals. AVOID: Smoking;it can make cramps worse.","Practice stress relief techniques, as stress can worsen pain perception."
"Anxiety/Stress","anxiety;stress;ghabrahat;chinta;feeling anxious;panic;tension;worry;palpitations;restlessness;unease","Anxiety is feeling worried or nervous. You might feel your heart racing, palms sweating, or just a sense of dread.","Try 'Box Breathing': Inhale for 4 counts, hold for 4, exhale for 4, hold for 4. Repeat 5 times. Drink water.","Consult if anxiety stops you from doing daily tasks;sleeping;or if you have panic attacks.","HAVE: Chamomile tea;curd (probiotics linked to mood);nuts. AVOID: Caffeine (coffee/strong tea/energy drinks) - major trigger!","Grounding technique: Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste.","Persistent anxiety can feel exhausting. You might constantly feel 'on edge' or have trouble concentrating.","Regular exercise (even 30 min brisk walk) burns off stress hormones like cortisol. Stick to a sleep routine.","See a psychiatrist/psychologist if you feel constantly overwhelmed or have physical symptoms like daily headaches/stomach issues from stress.","HAVE: Complex carbs (oats) can increase serotonin. AVOID: Alcohol (it's a depressant and worsens anxiety later).","Limit news/social media consumption if it triggers worry. Talk to a trusted friend or family member.","Severe anxiety or Panic Disorder can feel like a heart attack (chest pain, unable to breathe). It needs professional treatment.","Therapy (CBT) and sometimes SSRI medications are very effective. Don't suffer in silence.","URGENT: Consult if you have thoughts of self-harm or feeling hopeless.","HAVE: Balanced meals at regular times to keep blood sugar stable. AVOID: Sugar crashes.","Practice daily meditation or mindfulness using apps. It rewires the anxious brain over time."
"UTI (Urinary Tract Infection)","UTI;urine infection;peshab mein jalan;burning urination;frequent urination;urge to pee;bladder infection;cloudy urine","A UTI is a bacterial infection in your urinary system. It causes burning when you pee and a constant urge to go.","Drink lots of water to flush out bacteria. Citralka syrup (urine alkalizer) can reduce burning (consult doctor for use).","Consult symptoms don't improve in 2 days;or if you have fever/back pain (kidney risk).","HAVE: Cranberry juice (unsweetened);plenty of plain water;coconut water;barley water. AVOID: Coffee;alcohol;spicy food;citrus juices while infected.","Wipe from front to back (for women) after toilet use. Urinate before and after sexual activity.","Persistent UTI needs proper treatment to prevent it spreading to kidneys. You might feel lower abdominal pressure.","Antibiotics are usually NECESSARY for UTIs. Do not rely only on home remedies if it's a confirmed infection.","See doctor for a urine culture test to find the exact bacteria and right antibiotic.","HAVE: Probiotics (curd/yogurt) to restore good bacteria, especially if taking antibiotics. AVOID: Holding pee for long periods.","Wear cotton underwear. Avoid tight pants. Maintain good intimate hygiene.","Severe UTIs can reach the kidneys (pyelonephritis) causing high fever, chills, and severe flank (side) pain.","Requires urgent medical treatment, sometimes IV antibiotics.","URGENT: Consult if you have high fever;shaking chills;vomiting;or blood in urine.","HAVE: Bland diet during fever. AVOID: Dehydration at all costs.","Complete the FULL course of antibiotics even if you feel better to prevent resistance."
"Joint Pain","joint pain;jodo mein dard;arthritis;knee pain;stiff joints;swollen joints;aching bones;gout;trouble moving","Joint pain can be from age, injury, or inflammation. It might feel stiff when you wake up or hurt after movement.","Rest the painful joint. Apply cold pack for new injury/swelling, hot pack for old chronic stiffness.","Consult if joint is red;hot to touch;swollen;or if you have fever with it.","HAVE: Anti-inflammatory foods (fatty fish;walnuts;flaxseeds;turmeric). AVOID: Excessive sugar;fried foods;processed meats.","Gentle movement is better than complete rest for chronic pain. Try low-impact activities like swimming/cycling.","Persistent joint pain might be arthritis (osteo or rheumatoid). It can limit your daily movement.","OTC pain relief gels (Volini/Omnigel). For knee pain, knee caps can provide support during walking.","See orthopedist if pain is persistent, morning stiffness lasts >1 hour, or it affects multiple joints.","HAVE: Calcium and Vitamin D rich foods for bone health. AVOID: Foods high in purines (red meat/certain dals) if you have gout.","Maintain a healthy weight to reduce pressure on knees/hips. Avoid sitting cross-legged on floor if knees hurt.","Severe joint pain with deformity or inability to bear weight needs specialist intervention to prevent permanent damage.","DMARDs might be needed for rheumatoid arthritis. Injections might be used for severe osteoarthritis.","URGENT: Consult if sudden severe pain in a single joint (like big toe - could be gout attack) or after injury.","HAVE: Balanced diet. AVOID: Ignoring it until you can't walk.","Physiotherapy is crucial for strengthening muscles around the joint to take the load off."
"Heat Exhaustion","heat exhaustion;loo lagna;sun stroke;dehydration;overheating;feeling faint in sun;heat fatigue;dizzy in heat","Heat exhaustion happens when your body overheats. You might feel dizzy, sweat heavily, and feel weak.","Get out of the sun immediately into a cool/AC room. Lie down and elevate legs slightly. Sip cool water or ORS.","Consult if you stop sweating;have high fever >103°F;or confusion (signs of Heat Stroke - EMERGENCY).","HAVE: ORS (Electral);nimbu pani (salted lime water);buttermilk;coconut water. AVOID: Tea/coffee/alcohol (they dehydrate you more).","Loosen tight clothing. Put cool wet cloths on forehead, neck, and underarms.","If not treated quickly, it can progress to heat stroke. You might feel nauseous or get a headache.","Continue aggressive cooling and rehydration. Rest for the rest of the day even if feeling better.","See doctor if vomiting continues or you don't feel better within 60 minutes of cooling down.","HAVE: Water-rich fruits like watermelon;cucumber. AVOID: Heavy hot meals.","Avoid going out during peak sun hours (12pm-4pm) in Indian summers. Wear light-colored cotton clothes.","Heat Stroke is life-threatening. The body stops sweating and temperature skyrockets, potentially damaging the brain.","IMMEDIATE medical cooling required (ice baths etc in hospital).","URGENT: CALL AMBULANCE if person is unconscious;confused;has seizures;or very high body temp but DRY skin.","HAVE: IV fluids will be needed in hospital. AVOID: Giving fluids by mouth if person is unconscious.","Always carry water when traveling in heat. Wear a cap or use an umbrella."
"Insomnia","insomnia;neend na aana;sleeplessness;can't sleep;waking up early;disturbed sleep;trouble falling asleep;awake all night","Insomnia is trouble falling or staying asleep. It's often due to stress, screen time, or irregular schedules.","Follow 'Sleep Hygiene': No screens 1 hour before bed. Dark, cool, quiet room. Stick to same sleep time.","Consult if it lasts >4 weeks and affects your daytime energy/mood severely.","HAVE: Warm milk;chamomile tea;banana/almonds (contain tryptophan). AVOID: Caffeine after 2 PM;heavy/spicy dinner;alcohol before bed.","Don't watch clock. If awake for >20mins, get up and do something boring (reading a dull book) until sleepy.","Persistent insomnia can lead to anxiety about sleep itself. Your brain might have associated the bed with being awake.","Melatonin supplements (3mg) can sometimes help reset cycle (use only occasionally/short-term).","See doctor to rule out sleep apnea (if you snore loudly and wake up tired) or thyroid issues.","HAVE: Magnesium rich foods. AVOID: Napping during the day if you can't sleep at night.","Create a bedtime ritual (warm shower, light stretching). Use your bed ONLY for sleep and intimacy, not work/TV.","Severe chronic insomnia might require cognitive behavioral therapy for insomnia (CBT-I), which is very effective.","Prescription sleeping pills are a last resort due to addiction risk; don't self-medicate with friends' meds.","URGENT: Consult if lack of sleep is causing hallucinations or dangerous drowsiness while driving.","HAVE: Light easily digestible dinner 3 hours before bed. AVOID: intense exercise late at evening.","Manage underlying stress. Sometimes writing a 'to-do' list for tomorrow clears the mind before bed."
"Toothache","toothache;dant dard;dental pain;tooth pain;swollen gum;cavity pain;sensitive tooth;jaw pain from tooth","Toothache is usually from a cavity, infection, or wisdom tooth. It can be sharp, throbbing, or constant.","Rinse mouth with warm salt water to clear debris. Clove oil (laung ka tel) applied on a cotton ball to the tooth can numb it temporarily.","Consult dentist ASAP. Toothaches rarely go away on their own and usually get worse.","HAVE: Soft foods at room temperature (yogurt;mashed potatoes;khichdi). AVOID: Very hot/cold foods;sweets;hard crunchy items.","Don't place aspirin directly on the gum (it burns). Use an ice pack on the outside of your cheek.","Persistent toothache often means the decay has reached the nerve (pulp). You might have swelling in the gum.","Painkillers like Ketorol DT (dissolvable) provide strong relief but are temporary fixes until dental treatment.","See dentist immediately if you have swelling in Face/jaw;fever;or trouble opening mouth.","HAVE: Smoothies (without too much sugar);soups. AVOID: Chewing on the painful side.","Keep head elevated when sleeping to reduce throbbing pressure in the head/jaw area.","Severe tooth infections can form abscesses that can spread to the jaw bone or even deeper spaces in the neck.","Root canal treatment or extraction might be necessary to remove the infection source.","URGENT: Consult if swelling spreads to eye/neck or you have difficulty breathing/swallowing.","HAVE: Liquid diet if chewing is impossible. AVOID: ignoring it due to fear of dentist.","Maintain oral hygiene by gently brushing other teeth to prevent more issues."
